,Date,Pollster,Sample Size,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
0,3/24/24,Calvo Group,1089,0.342,0.28,0.243,,,0.136
1,3/23/24,Policy Voice Polling,1464,0.39,0.307,0.20800000000000002,0.039,,0.055999999999999994
2,3/22/24,Bardi University,660,0.355,0.3,0.23,,,0.115
3,3/22/24,University of Bellville-sur-Mer,1571,0.38,0.29,0.192,0.08199999999999999,0.016,0.040999999999999995
4,3/22/24,University of Bellville-sur-Mer,1571,0.386,0.295,0.196,0.083,,0.040999999999999995
5,3/20/24,Verity Insights,1507,0.376,0.304,0.209,0.079,,0.032
6,3/20/24,Capitol Opinion Research,1004,0.345,0.293,0.2,0.087,,0.075
7,3/18/24,DemocracyMeter,708,0.36,0.31,0.18,0.08,,0.07
8,3/16/24,Policy Voice Polling,1457,0.418,0.299,0.19699999999999998,0.05,,0.037000000000000005
9,3/16/24,Bardi University,653,0.355,0.298,0.209,,,0.139
10,3/14/24,Pulse Analytics,2015,0.369,0.282,0.198,,,0.151
11,3/13/24,Verity Insights,1517,0.33899999999999997,0.308,0.168,0.07,,0.115
12,3/11/24,Mandate Metrics,1914,0.369,0.243,0.214,0.063,,0.11
13,3/11/24,DemocracyMeter,756,0.39,0.31,0.19,,,0.11
14,3/11/24,Mawmsey Reports,3033,0.32899999999999996,0.3,0.21,0.062,,0.1
15,3/10/24,Civic Pulse,2615,0.33,0.26,0.22,,,0.18
16,3/10/24,Bardi University,664,0.361,0.29600000000000004,0.22399999999999998,,,0.11900000000000001
17,3/9/24,Policy Voice Polling,1465,0.363,0.26,0.217,0.078,,0.081
18,3/6/24,Verity Insights,1573,0.331,0.306,0.192,0.067,,0.10400000000000001
19,3/6/24,Capitol Opinion Research,981,0.379,0.303,0.18899999999999997,0.019,,0.11
20,3/4/24,DemocracyMeter,772,0.37,0.31,0.19,0.04,,0.1
21,3/4/24,Bardi University,677,0.33899999999999997,0.32899999999999996,0.19399999999999998,,,0.138
22,3/2/24,Policy Voice Polling,1409,0.335,0.29600000000000004,0.23,0.071,,0.068
23,2/29/24,Pulse Analytics,2037,0.335,0.34,0.183,0.05,,0.092
24,2/28/24,Verity Insights,1589,0.326,0.332,0.183,0.065,,0.094
25,2/27/24,Bardi University,660,0.324,0.34600000000000003,0.203,,,0.127
26,2/26/24,Mandate Metrics,2036,0.3,0.3,0.23399999999999999,,,0.166
27,2/26/24,DemocracyMeter,706,0.35,0.34,0.19,0.07,,0.05
28,2/25/24,Civic Pulse,2541,0.33,0.33,0.2,0.07,,0.07
29,2/24/24,Policy Voice Polling,1403,0.321,0.315,0.251,0.048,,0.064
30,2/23/24,University of Bellville-sur-Mer,1538,0.327,0.364,0.22,0.057999999999999996,0.013000000000000001,0.017
31,2/23/24,University of Bellville-sur-Mer,1538,0.331,0.369,0.223,0.059000000000000004,,0.018000000000000002
32,2/21/24,Verity Insights,1529,0.33299999999999996,0.35200000000000004,0.19,0.064,,0.061
33,2/21/24,Capitol Opinion Research,1020,0.335,0.313,0.21899999999999997,0.05,,0.083
34,2/21/24,Bardi University,675,0.317,0.305,0.19699999999999998,,,0.18
35,2/19/24,DemocracyMeter,724,0.33,0.35,0.22,0.06,,0.04
36,2/17/24,Policy Voice Polling,1446,0.335,0.33899999999999997,0.207,0.073,0.027000000000000003,0.019
37,2/15/24,Pulse Analytics,2078,0.321,0.33,0.183,0.096,,0.07
38,2/15/24,Bardi University,676,0.293,0.37,0.23,,,0.10800000000000001
39,2/14/24,Verity Insights,1486,0.345,0.354,0.19399999999999998,0.047,,0.06
40,2/12/24,Mandate Metrics,1916,0.292,0.332,0.22399999999999998,0.076,,0.076
41,2/12/24,DemocracyMeter,713,0.33,0.37,0.18,0.08,,0.05
42,2/11/24,Civic Pulse,2552,0.33,0.3,0.2,0.1,,0.07
43,2/10/24,Policy Voice Polling,1511,0.32299999999999995,0.34,0.18600000000000003,0.10800000000000001,,0.043
44,2/10/24,Mawmsey Reports,3144,0.32799999999999996,0.324,0.19899999999999998,0.083,,0.065
45,2/9/24,Bardi University,666,0.32799999999999996,0.305,0.223,,,0.145
46,2/7/24,Verity Insights,1521,0.341,0.307,0.175,0.08800000000000001,,0.09
47,2/7/24,Capitol Opinion Research,1020,0.29600000000000004,0.37200000000000005,0.204,0.10400000000000001,,0.025
48,2/5/24,DemocracyMeter,702,0.32,0.33,0.21,0.08,,0.06
49,2/3/24,Policy Voice Polling,1475,0.312,0.33799999999999997,0.201,0.086,0.023,0.039
50,2/3/24,Bardi University,697,0.289,0.341,0.231,,,0.139
51,2/1/24,Pulse Analytics,2085,0.319,0.332,0.2,0.102,,0.048
52,1/31/24,Verity Insights,1452,0.29600000000000004,0.366,0.20199999999999999,0.055,,0.081
53,1/29/24,Mandate Metrics,1930,0.33799999999999997,0.34700000000000003,0.203,,,0.11199999999999999
54,1/29/24,DemocracyMeter,759,0.29,0.35,0.2,0.06,,0.09
55,1/28/24,Civic Pulse,2531,0.33,0.32,0.2,0.07,,0.08
56,1/28/24,Bardi University,669,0.304,0.364,0.18899999999999997,,,0.14300000000000002
57,1/27/24,Policy Voice Polling,1466,0.316,0.35100000000000003,0.17300000000000001,0.085,0.038,0.037000000000000005
58,1/26/24,University of Bellville-sur-Mer,1627,0.318,0.311,0.205,0.064,0.040999999999999995,0.06
59,1/26/24,University of Bellville-sur-Mer,1627,0.332,0.325,0.214,0.067,,0.063
60,1/24/24,Verity Insights,1545,0.303,0.381,0.18100000000000002,0.052000000000000005,,0.08199999999999999
61,1/24/24,Capitol Opinion Research,1009,0.294,0.35,0.171,0.071,,0.11599999999999999
62,1/22/24,DemocracyMeter,740,0.33,0.33,0.2,0.06,,0.08
63,1/22/24,Bardi University,656,0.295,0.336,0.212,0.083,,0.075
64,1/20/24,Policy Voice Polling,1538,0.336,0.342,0.179,0.065,,0.078
65,1/18/24,Pulse Analytics,2164,0.315,0.33799999999999997,0.20199999999999999,0.057999999999999996,,0.087
66,1/17/24,Verity Insights,1541,0.302,0.301,0.24100000000000002,0.057,,0.099
67,1/16/24,Bardi University,710,0.313,0.302,0.17600000000000002,0.054000000000000006,,0.155
68,1/15/24,Mandate Metrics,2031,0.335,0.299,0.191,0.107,,0.068
69,1/15/24,DemocracyMeter,742,0.3,0.34,0.18,0.09,,0.09
70,1/14/24,Civic Pulse,2640,0.31,0.31,0.19,0.07,,0.11
71,1/13/24,Policy Voice Polling,1441,0.266,0.36,0.204,0.059000000000000004,,0.111
72,1/11/24,Mawmsey Reports,3076,0.35100000000000003,0.308,0.191,0.07,,0.08
73,1/10/24,Verity Insights,1473,0.315,0.31,0.21100000000000002,0.076,,0.08900000000000001
74,1/10/24,Capitol Opinion Research,997,0.304,0.332,0.17800000000000002,0.047,,0.138
75,1/10/24,Bardi University,679,0.314,0.303,0.18100000000000002,0.11699999999999999,,0.085
76,1/8/24,DemocracyMeter,738,0.34,0.33,0.2,0.06,,0.07
77,1/6/24,Policy Voice Polling,1470,0.34,0.318,0.17,0.055,,0.11699999999999999
78,1/4/24,Pulse Analytics,2064,0.306,0.313,0.207,0.08199999999999999,0.028999999999999998,0.064
79,1/4/24,Bardi University,659,0.324,0.33399999999999996,0.179,0.065,,0.098
80,12/30/23,Policy Voice Polling,1391,0.318,0.341,0.177,0.08800000000000001,0.028999999999999998,0.049
81,12/18/23,Mandate Metrics,1944,0.37,0.321,0.126,0.10300000000000001,0.026000000000000002,0.054000000000000006
82,12/18/23,DemocracyMeter,756,0.37,0.29,0.13,0.1,0.05,0.06
83,12/17/23,Civic Pulse,2662,0.37,0.34,0.11,0.1,0.03,0.04
84,12/17/23,Bardi University,704,0.385,0.302,0.08800000000000001,0.098,,0.127
85,12/16/23,Policy Voice Polling,1519,0.387,0.33299999999999996,0.10400000000000001,0.11199999999999999,0.027000000000000003,0.038
86,12/13/23,Verity Insights,1584,0.385,0.294,0.126,0.129,0.034,0.033
87,12/13/23,Capitol Opinion Research,1039,0.38799999999999996,0.301,0.11800000000000001,0.11,0.018000000000000002,0.065
88,12/12/23,Mawmsey Reports,3097,0.37200000000000005,0.326,0.087,0.11800000000000001,0.031,0.067
89,12/11/23,DemocracyMeter,729,0.35,0.33,0.13,0.12,0.05,0.02
90,12/11/23,Bardi University,699,0.342,0.33,,0.128,0.062,0.138
91,12/9/23,Policy Voice Polling,1525,0.35600000000000004,0.29100000000000004,0.09699999999999999,0.13699999999999998,0.053,0.065
92,12/7/23,Pulse Analytics,1999,0.42100000000000004,0.309,0.077,0.091,0.057,0.046
93,12/6/23,Verity Insights,1539,0.385,0.29100000000000004,,0.138,0.061,0.125
94,12/5/23,Bardi University,680,0.385,0.308,,0.14300000000000002,0.049,0.115
95,12/4/23,Mandate Metrics,1922,0.39799999999999996,0.293,0.066,0.114,0.066,0.063
96,12/4/23,DemocracyMeter,758,0.42,0.32,0.06,0.12,0.02,0.05
97,12/3/23,Civic Pulse,2556,0.38,0.29,0.06,0.14,0.1,0.04
98,12/2/23,Policy Voice Polling,1465,0.39,0.298,0.055,0.11699999999999999,0.069,0.07
99,12/1/23,University of Bellville-sur-Mer,1635,0.385,0.34,0.085,0.114,0.055999999999999994,0.021
100,11/29/23,Verity Insights,1477,0.385,0.308,0.07,0.13,0.044000000000000004,0.063
101,11/29/23,Capitol Opinion Research,981,0.368,0.32299999999999995,0.086,0.092,0.07,0.061
102,11/29/23,Bardi University,676,0.379,0.317,,0.081,0.08199999999999999,0.141
103,11/27/23,DemocracyMeter,710,0.35,0.32,,0.14,0.12,0.08
104,11/25/23,Policy Voice Polling,1506,0.369,0.341,0.061,0.092,0.113,0.023
